episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_dp_seed7/agent_ep150.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,30092.156559599956,2192.805198666549,2935.3545335794042,11768.95805158456,8184.7659766588695,31.623046875,863.6625726200089,4,0.3333333333333333,0.6666666666666667,0.398775008904165,0.26585000593611,336,-164.07420497749456,
1,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_dp_seed7/agent_ep150.pt,12,12,0,1.0,7,1.7142857142857142,3,0.42857142857142855,1.7142857142857142,21962.27748255698,3884.677713654108,9086.55369955951,6337.33171012664,12647.160703903142,32.5341796875,506.8355332390043,7,0.5833333333333334,0.41666666666666663,0.5463914209048091,0.22766309204367044,196,-115.84525687344552,
2,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_dp_seed7/agent_ep150.pt,12,12,0,1.0,10,1.4,4,0.2,1.2,40619.21030899098,4686.546968387162,9886.124634575124,6450.185991356688,22462.340464273428,29.373046875,668.9025545016641,4,0.3333333333333333,0.6666666666666667,0.295426718262512,0.1969511455083413,280,-177.03004454663673,
3,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_dp_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,38753.548496084266,2726.0150045809523,7774.697801478958,4725.747537721843,17338.381382691467,25.634765625,611.551722479915,1,0.08333333333333333,0.9166666666666666,0.30964906352285404,0.2838449748959495,308,-130.35549429883002,
4,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_dp_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,24722.701669477377,2125.1485541905627,3415.549163004176,10537.48158912656,5092.5217584693655,29.689453125,793.6248802575998,4,0.3333333333333333,0.6666666666666667,0.485383845197436,0.323589230131624,308,-134.97830762220414,
5,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_dp_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,22200.95473297289,1422.0503756207715,2909.914744460157,8192.340943921967,2692.869227638499,32.6455078125,824.2226418142961,4,0.3333333333333333,0.6666666666666667,0.5405172950592788,0.36034486337285254,308,-100.31621097668875,
6,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_dp_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,22873.207299205664,1829.3101303771573,2788.1795369236543,8181.343410008194,6342.709872216518,25.4501953125,751.7344144029207,3,0.25,0.75,0.5246312789906264,0.39347345924296984,308,-121.45957505168705,
7,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_dp_seed7/agent_ep150.pt,12,12,0,1.0,10,1.3,4,0.1,1.2,20693.35912066232,2344.2029900529255,5665.484609993924,6353.815774907461,9307.216571162871,27.4541015625,832.0404902678513,2,0.16666666666666666,0.8333333333333334,0.5798961845695704,0.48324682047464196,280,-115.84309106856499,
8,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_dp_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,4,0.1111111111111111,1.3333333333333333,24766.289828819357,2710.104954869091,5486.656884370131,7733.287245205955,10511.070245107901,29.7041015625,526.9682818181176,5,0.4166666666666667,0.5833333333333333,0.4845295796399899,0.2826422547899941,252,-131.73563271698552,
9,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_dp_seed7/agent_ep150.pt,12,12,0,1.0,11,1.2727272727272727,2,0.2727272727272727,1.0909090909090908,30723.95730147981,2969.4801465615988,5895.338718508414,10410.682778391658,10456.684028964444,38.0244140625,813.6053294773054,6,0.5,0.5,0.39057468679081986,0.19528734339540993,308,-160.9985852139623,
